ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
rata1244,Toratán Ratahan,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",1.07592,124.858,rata1244,rth
mala1537,Malagasy,,,,mala1537,
yaka1277,Yakan,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",6.531023,122.021729,yaka1277,yka
west2560,West Coast Bajau,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",6.00631,116.124,west2560,bdr
tond1251,Tondano,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",1.28024,124.964,tond1251,tdn
toto1304,Totoli,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",1.14995,120.875,toto1304,txe
pend1242,Pendau,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",-0.11396,119.862,pend1242,ums
bala1315,Balantak,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",-0.86809,123.289,bala1315,blz
taji1246,Tajio,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",-0.31553,120.01,taji1246,tdj
idaa1241,Begak-Ida'an,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",5.29059,118.515,idaa1241,dbj
kima1244,Kimaragang,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",6.61982,116.96,kima1244,kqr
bong1289,Bonggi,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",7.29249,117.174,bong1289,bdg
bela1260,Belait,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",4.96207,114.933,bela1260,beg
temp1235,Tindal Dusun,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",6.36389,116.545,temp1235,tdu
tata1257,Tatana,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",5.49808,115.553,tata1257,txx
kela1258,Kelabit,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",3.31783,115.428,kela1258,kzi
bata1293,Batak Karo,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",2.12787,98.2517,bata1293,btx
bata1289,Batak Toba,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",2.35498,99.1761,bata1289,bbc
gayo1244,Gayo,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",4.3733,97.3456,gayo1244,gay
lamp1243,Lampung Pesisir,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",-5.73463,105.037,lamp1243,ljp
java1254,Javanese,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",-7.001,109.287,java1254,jav
mala1481,Manado Malay,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",1.48099,124.843,mala1481,xmm
baba1267,Baba Malay,"Macroarea(id='eurasia', name='Eurasia', description='The Eurasian landmass North of Sinai. Includes Japan and islands to the North of it. Does not include Insular South East Asia.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",1.75414,103.076,baba1267,mbf
indo1316,Indonesian,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",-7.33458,109.716,indo1316,ind
riau1236,Indonesian Riau,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",,,riau1236,
cent2053,Besemah,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",-3.79673,103.137,cent2053,pse
mina1268,Minangkabau,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",-0.896,100.44,mina1268,min
sund1252,Sundanese,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",-6.89708,107.106,sund1252,sun
nucl1460,Madurese,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",-7.0,113.0,nucl1460,mad
mual1241,Mualang,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",0.31083,111.077,mual1241,mtd
bali1278,Balinese,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",-8.35714,115.075,bali1278,ban
