ID,Parameter_ID,Name,Description,Map_Icon
dom-none,dom,no DOM,,cffffff
dom-asym1,dom,asymmetric I,,cdd0000
dom-asym2,dom,asymmetric II,,ddd0000
dom-asym3,dom,asymmetric III,,sdd0000
dom-sym1,dom,symmetric I,,c0000dd
dom-sym2,dom,symmetric II,,d0000dd
dom-sym3,dom,symmetric III,,s0000dd
