ID,Parameter_ID,Original_Name,Name,Map_Icon
dom-none,dom,no DOM,no DOM,cffffff
dom-asym1,dom,asymmetric I,asymmetric I,cdd0000
dom-asym2,dom,asymmetric II,asymmetric II,ddd0000
dom-asym3,dom,asymmetric III,asymmetric III,sdd0000
dom-sym1,dom,symmetric I,symmetric I,c0000dd
dom-sym2,dom,symmetric II,symmetric II,d0000dd
dom-sym3,dom,symmetric III,symmetric III,s0000dd
